"date","stamp","year"
2015-09-11,19.0885,2015
2015-09-12,19.3803333333333,2015
2015-09-13,19.2030833333333,2015
2015-09-14,17.908875,2015
2015-09-15,17.2683333333333,2015
2015-09-16,17.1640416666667,2015
2015-09-17,17.45575,2015
2015-09-18,17.5806666666667,2015
2015-09-19,17.8281666666667,2015
2015-09-20,17.854125,2015
2015-09-21,17.6249166666667,2015
2015-09-22,17.5469583333333,2015
2015-09-23,17.4244166666667,2015
2015-09-24,16.9660833333333,2015
2015-09-25,17.145875,2015
2015-09-26,17.2084166666667,2015
2015-09-27,16.9765416666667,2015
2015-09-28,16.7863333333333,2015
2015-09-29,16.8620416666667,2015
2015-09-30,16.9270416666667,2015
2015-10-01,16.8072916666667,2015
2015-10-02,16.677125,2015
2015-10-03,16.1094166666667,2015
2015-10-04,16.0651666666667,2015
2015-10-05,15.989625,2015
2015-10-06,16.177,2015
2015-10-07,16.3254583333333,2015
2015-10-08,16.3646666666667,2015
2015-10-09,16.3827916666667,2015
2015-10-10,15.7005,2015
2015-10-11,15.2914166666667,2015
2015-10-12,15.5572083333333,2015
2015-10-13,15.51575,2015
2015-10-14,15.3618333333333,2015
2015-10-15,15.1119583333333,2015
2015-10-16,15.1093333333333,2015
2015-10-17,15.43225,2015
2015-10-18,15.5625833333333,2015
2015-10-19,15.3125833333333,2015
2015-10-20,15.1952916666667,2015
2015-10-21,14.89325,2015
2015-10-22,14.7762083333333,2015
2015-10-23,14.414125,2015
2015-10-24,14.0338333333333,2015
2015-10-25,14.0729583333333,2015
2015-10-26,14.0467916666667,2015
2015-10-27,14.0026666666667,2015
2015-10-28,14.093875,2015
2015-10-29,13.960875,2015
2015-10-30,13.83325,2015
2015-10-31,13.625,2015
2015-11-01,12.94525,2015
2015-11-02,12.6015,2015
2015-11-03,12.5755416666667,2015
2015-11-04,12.5184166666667,2015
2015-11-05,12.5547083333333,2015
2015-11-06,12.2994166666667,2015
2015-11-07,11.9737916666667,2015
2015-11-08,11.8855,2015
2015-11-09,11.79425,2015
2015-11-10,11.6093333333333,2015
2015-11-11,11.3280833333333,2015
2015-11-12,10.799375,2015
2015-11-13,10.242125,2015
2015-11-14,10.6638333333333,2015
2015-11-15,10.716125,2015
2015-11-16,10.2213333333333,2015
2015-11-17,9.58070833333333,2015
2015-11-18,9.30995833333333,2015
2015-11-19,9.45583333333333,2015
2015-11-20,9.20058333333333,2015
2015-11-21,8.97141666666667,2015
2015-11-22,8.85416666666667,2015
2015-11-23,8.877625,2015
2015-11-24,8.4715,2015
2015-11-25,7.89575,2015
2015-11-26,7.66658333333333,2015
2015-11-27,7.51833333333333,2015
2015-11-28,7.31516666666667,2015
2015-11-29,6.86470833333333,2015
2015-11-30,6.64329166666667,2015
2015-12-01,6.60958333333333,2015
2015-12-02,6.11720833333333,2015
2015-12-03,6.578,2015
2015-12-04,7.11220833333333,2015
2015-12-05,7.106875,2015
2015-12-06,6.66129166666667,2015
2015-12-07,6.66645833333333,2015
2015-12-08,6.90370833333333,2015
2015-12-09,6.85925,2015
2015-12-10,6.87245833333333,2015
2015-12-11,6.585875,2015
2015-12-12,6.71070833333333,2015
2015-12-13,6.47908333333333,2015
2015-12-14,6.497375,2015
2015-12-15,6.44529166666667,2015
2015-12-16,6.43775,2015
2015-12-17,6.32791666666667,2015
2015-12-18,6.091,2015
2015-12-19,5.86991666666667,2015
2015-12-20,5.46091666666667,2015
2015-12-21,5.67945833333333,2015
2015-12-22,5.723875,2015
2015-12-23,5.60654166666667,2015
2015-12-24,5.51054166666667,2015
2015-12-25,5.2605,2015
2015-12-26,5.101375,2015
2015-12-27,4.92958333333333,2015
2015-12-28,5.164125,2015
2015-12-29,5.12245833333333,2015
2015-12-30,4.71633333333333,2015
2015-12-31,4.19791666666667,2015
2016-01-01,4.06004166666667,2016
2016-01-02,4.156125,2016
2016-01-03,4.13279166666667,2016
2016-01-04,3.87779166666667,2016
2016-01-05,3.69791666666667,2016
2016-01-06,4.13279166666667,2016
2016-01-07,4.38270833333333,2016
2016-01-08,4.38016666666667,2016
2016-01-09,4.39566666666667,2016
2016-01-10,4.49229166666667,2016
2016-01-11,4.32025,2016
2016-01-12,4.254875,2016
2016-01-13,4.091125,2016
2016-01-14,4.40108333333333,2016
2016-01-15,4.325625,2016
2016-01-16,4.42454166666667,2016
2016-01-17,4.500125,2016
2016-01-18,4.60679166666667,2016
2016-01-19,4.67170833333333,2016
2016-01-20,4.7815,2016
2016-01-21,4.768125,2016
2016-01-22,4.83091666666667,2016
2016-01-23,4.94770833333333,2016
2016-01-24,5.05208333333333,2016
2016-01-25,5.05483333333333,2016
2016-01-26,5.14833333333333,2016
2016-01-27,5.29975,2016
2016-01-28,5.18475,2016
2016-01-29,4.76808333333333,2016
2016-01-30,4.76820833333333,2016
2016-01-31,4.84883333333333,2016
2016-02-01,4.8775,2016
2016-02-02,4.890375,2016
2016-02-03,4.901125,2016
2016-02-04,4.908625,2016
2016-02-05,5.01033333333333,2016
2016-02-06,4.79429166666667,2016
2016-02-07,4.76841666666667,2016
2016-02-08,4.97658333333333,2016
2016-02-09,4.9765,2016
2016-02-10,5.09120833333333,2016
2016-02-11,5.07266666666667,2016
2016-02-12,5.135125,2016
2016-02-13,4.91679166666667,2016
2016-02-14,4.882625,2016
2016-02-15,5.031,2016
2016-02-16,5.00004166666667,2016
2016-02-17,5.06508333333333,2016
2016-02-18,5.17954166666667,2016
2016-02-19,5.16420833333333,2016
2016-02-20,5.09879166666667,2016
2016-02-21,4.94283333333333,2016
2016-02-22,5.08870833333333,2016
2016-02-23,5.0625,2016
2016-02-24,5.27329166666667,2016
2016-02-25,5.40379166666667,2016
2016-02-26,5.42695833333333,2016
2016-02-27,5.69533333333333,2016
2016-02-28,5.75025,2016
2016-02-29,5.69783333333333,2016
2016-03-01,5.51816666666667,2016
2016-03-02,5.57816666666667,2016
2016-03-03,5.49204166666667,2016
2016-03-04,5.61708333333333,2016
2016-03-05,5.59379166666667,2016
2016-03-06,5.58579166666667,2016
2016-03-07,5.47404166666667,2016
2016-03-08,5.507875,2016
2016-03-09,5.36966666666667,2016
2016-03-10,5.52604166666667,2016
2016-03-11,5.44270833333333,2016
2016-03-12,5.39595833333333,2016
2016-03-13,5.27325,2016
2016-03-14,5.25245833333333,2016
2016-03-15,5.40125,2016
2016-03-16,5.53641666666667,2016
2016-03-17,5.58858333333333,2016
2016-03-18,5.72920833333333,2016
2016-03-19,5.98170833333333,2016
2016-03-20,6.14866666666667,2016
2016-03-21,6.445375,2016
2016-03-22,6.71358333333333,2016
2016-03-23,6.784,2016
2016-03-24,6.59879166666667,2016
2016-03-25,6.72920833333333,2016
2016-03-26,7.12233333333333,2016
2016-03-27,7.56508333333333,2016
2016-03-28,7.48966666666667,2016
2016-03-29,7.74733333333333,2016
2016-03-30,8.25004166666667,2016
2016-03-31,8.78129166666667,2016
2016-04-01,9.197875,2016
2016-04-02,9.07554166666667,2016
2016-04-03,8.55725,2016
2016-04-04,8.54175,2016
2016-04-05,8.69795833333333,2016
2016-04-06,8.86979166666667,2016
2016-04-07,9.213625,2016
2016-04-08,9.60154166666667,2016
2016-04-09,9.45816666666667,2016
2016-04-10,9.34108333333333,2016
2016-04-11,7.72908333333333,2016
2016-04-12,7.53120833333333,2016
2016-04-13,7.35933333333333,2016
2016-04-14,7.98179166666667,2016
2016-04-15,8.932375,2016
2016-04-16,9.22395833333333,2016
2016-04-17,10.226375,2016
2016-04-18,10.9557083333333,2016
2016-04-19,11.59375,2016
2016-04-20,12.3801666666667,2016
2016-04-21,12.1275416666667,2016
2016-04-22,11.6249583333333,2016
2016-04-23,11.2135416666667,2016
2016-04-24,10.0729166666667,2016
2016-04-25,11.0103333333333,2016
2016-04-26,11.3565833333333,2016
2016-04-27,12.1432083333333,2016
2016-04-28,12.4115416666667,2016
2016-04-29,12.7942916666667,2016
2016-04-30,12.9426666666667,2016
2016-05-01,12.997375,2016
2016-05-02,13.5469166666667,2016
2016-05-03,13.7994166666667,2016
2016-05-04,13.1276666666667,2016
2016-05-05,13.6015416666667,2016
2016-05-06,14.2890833333333,2016
2016-05-07,14.9140833333333,2016
2016-05-08,15.5469166666667,2016
2016-05-09,14.221375,2016
2016-05-10,13.6587916666667,2016
2016-05-11,15.005125,2016
2016-05-12,14.8280416666667,2016
2016-05-13,13.8698333333333,2016
2016-05-14,14.591125,2016
2016-05-15,14.0989166666667,2016
2016-05-16,12.3827916666667,2016
2016-05-17,13.0546666666667,2016
2016-05-18,13.8149583333333,2016
2016-05-19,14.520875,2016
2016-05-20,14.6614166666667,2016
2016-05-21,15.1770833333333,2016
2016-05-22,15.36975,2016
2016-05-23,15.5546666666667,2016
2016-05-24,15.4557083333333,2016
2016-05-25,15.8072083333333,2016
2016-05-26,15.585875,2016
2016-05-27,14.3802083333333,2016
2016-05-28,13.8020416666667,2016
2016-05-29,14.88025,2016
2016-05-30,15.578125,2016
2016-05-31,16.2994583333333,2016
2016-06-01,16.49225,2016
2016-06-02,16.2474166666667,2016
2016-06-03,16.0807916666667,2016
2016-06-04,16.9349166666667,2016
2016-06-05,18.50775,2016
2016-06-06,19.9401666666667,2016
2016-06-07,19.5025416666667,2016
2016-06-08,18.599,2016
2016-06-09,18.4165,2016
2016-06-10,18.2865,2016
2016-06-11,17.7890833333333,2016
2016-06-12,17.7109166666667,2016
2016-06-13,17.5703333333333,2016
2016-06-14,17.195375,2016
2016-06-15,17.2760833333333,2016
2016-06-16,17.1952916666667,2016
2016-06-17,17.4035416666667,2016
2016-06-18,17.158875,2016
2016-06-19,16.8254166666667,2016
2016-06-20,17.401,2016
2016-06-21,17.5415833333333,2016
2016-06-22,17.0442083333333,2016
2016-06-23,16.677125,2016
2016-06-24,15.953,2016
2016-06-25,17.0077083333333,2016
2016-06-26,17.84625,2016
2016-06-27,18.7865,2016
2016-06-28,19.29175,2016
2016-06-29,19.1092916666667,2016
2016-06-30,18.513125,2016
2016-07-01,18.2863333333333,2016
2016-07-02,18.3150833333333,2016
2016-07-03,18.5390416666667,2016
2016-07-04,18.6119583333333,2016
2016-07-05,18.401,2016
2016-07-06,18.69525,2016
2016-07-07,18.2473333333333,2016
2016-07-08,17.507875,2016
2016-07-09,16.28125,2016
2016-07-10,16.914,2016
2016-07-11,17.4219583333333,2016
2016-07-12,17.8020833333333,2016
2016-07-13,18.229125,2016
2016-07-14,18.4974583333333,2016
2016-07-15,18.984375,2016
2016-07-16,18.7890833333333,2016
2016-07-17,19.0650833333333,2016
2016-07-18,19.24475,2016
2016-07-19,18.7344166666667,2016
2016-07-20,19.21875,2016
2016-07-21,19.880125,2016
2016-07-22,19.6431666666667,2016
2016-07-23,20.013,2016
2016-07-24,20.5365416666667,2016
2016-07-25,21.2552916666667,2016
2016-07-26,21.3098333333333,2016
2016-07-27,21.2475,2016
2016-07-28,21.416625,2016
2016-07-29,21.6587916666667,2016
2016-07-30,21.2343333333333,2016
2016-07-31,20.4089166666667,2016
2016-08-01,19.9711666666667,2016
2016-08-02,19.1067916666667,2016
2016-08-03,19.63025,2016
2016-08-04,20.151,2016
2016-08-05,19.5989166666667,2016
2016-08-06,18.9582916666667,2016
2016-08-07,18.8906666666667,2016
2016-08-08,18.85675,2016
2016-08-09,19.216,2016
2016-08-10,19.716125,2016
2016-08-11,20.2447083333333,2016
2016-08-12,20.7525833333333,2016
2016-08-13,21.5313333333333,2016
2016-08-14,21.8071666666667,2016
2016-08-15,21.8203333333333,2016
2016-08-16,21.5599166666667,2016
2016-08-17,21.229125,2016
2016-08-18,21.3907916666667,2016
2016-08-19,22.072875,2016
2016-08-20,22.4297083333333,2016
2016-08-21,21.8202916666667,2016
2016-08-22,20.692625,2016
2016-08-23,20.148375,2016
2016-08-24,20.5155416666667,2016
2016-08-25,20.9843333333333,2016
2016-08-26,21.565,2016
2016-08-27,21.565,2016
2016-08-28,20.442625,2016
2016-08-29,19.84125,2016
2016-08-30,19.947875,2016
2016-08-31,19.89325,2016
2016-09-01,19.091125,2016
2016-09-02,19.01825,2016
2016-09-03,19.2760416666667,2016
2016-09-04,19.3203333333333,2016
2016-09-05,18.9193333333333,2016
2016-09-06,18.895875,2016
2016-09-07,18.75,2016
2016-09-08,18.7449166666667,2016
2016-09-09,18.7474166666667,2016
2016-09-10,19.1770833333333,2016
2016-09-11,18.7864583333333,2016
2016-09-12,18.4089583333333,2016
2016-09-13,18.6171666666667,2016
2016-09-14,18.80475,2016
2016-09-15,19.0208333333333,2016
2016-09-16,18.9321666666667,2016
2016-09-17,18.7187916666667,2016
2016-09-18,18.4479166666667,2016
2016-09-19,18.2525833333333,2016
2016-09-20,18.1875833333333,2016
2016-09-21,17.9999583333333,2016
2016-09-22,17.7942916666667,2016
2016-09-23,17.6405833333333,2016
2016-09-24,17.4530833333333,2016
2016-09-25,17.46875,2016
2016-09-26,17.58075,2016
2016-09-27,17.4087916666667,2016
2016-09-28,16.7839583333333,2016
2016-09-29,16.317625,2016
2016-09-30,16.1302083333333,2016
