"date","sproat","year"
2016-02-28,6.58845833333333,2016
2016-02-29,6.76808333333333,2016
2016-03-01,6.58333333333333,2016
2016-03-02,6.40891666666667,2016
2016-03-03,6.48445833333333,2016
2016-03-04,6.15608333333333,2016
2016-03-05,6.44,2016
2016-03-06,6.583375,2016
2016-03-07,6.44258333333333,2016
2016-03-08,6.77345833333333,2016
2016-03-09,6.80741666666667,2016
2016-03-10,6.73420833333333,2016
2016-03-11,6.65904166666667,2016
2016-03-12,6.61720833333333,2016
2016-03-13,6.54133333333333,2016
2016-03-14,6.598875,2016
2016-03-15,6.770875,2016
2016-03-16,6.86445833333333,2016
2016-03-17,6.64316666666667,2016
2016-03-18,6.47129166666667,2016
2016-03-19,6.84395833333333,2016
2016-03-20,7.16395833333333,2016
2016-03-21,7.32554166666667,2016
2016-03-22,7.59391666666667,2016
2016-03-23,7.27854166666667,2016
2016-03-24,7.29175,2016
2016-03-25,7.60941666666667,2016
2016-03-26,7.838625,2016
2016-03-27,8.15366666666667,2016
2016-03-28,8.17716666666667,2016
2016-03-29,8.42191666666667,2016
2016-03-30,8.679625,2016
2016-03-31,9.010375,2016
2016-04-01,9.33591666666667,2016
2016-04-02,9.57558333333333,2016
2016-04-03,9.76320833333333,2016
2016-04-04,10.6770833333333,2016
2016-04-05,10.1171666666667,2016
2016-04-06,9.89329166666667,2016
2016-04-07,10.4455,2016
2016-04-08,10.3047083333333,2016
2016-04-09,10.2032083333333,2016
2016-04-10,11.0104583333333,2016
2016-04-11,11.585875,2016
2016-04-12,11.0130416666667,2016
2016-04-13,11.0025833333333,2016
2016-04-14,11.5754166666667,2016
2016-04-15,11.8202916666667,2016
2016-04-16,11.6276666666667,2016
2016-04-17,11.645875,2016
2016-04-18,12.034,2016
2016-04-19,12.5235,2016
2016-04-20,12.7056666666667,2016
2016-04-21,12.7317916666667,2016
2016-04-22,13.5599166666667,2016
2016-04-23,13.909,2016
2016-04-24,13.9895833333333,2016
2016-04-25,13.927125,2016
2016-04-26,13.9165833333333,2016
2016-04-27,14.1562083333333,2016
2016-04-28,14.1925833333333,2016
2016-04-29,14.1614166666667,2016
2016-04-30,13.6328333333333,2016
2016-05-01,13.609375,2016
2016-05-02,14.7786666666667,2016
2016-05-03,15.260375,2016
2016-05-04,15.429625,2016
2016-05-05,15.0390833333333,2016
2016-05-06,15.3749583333333,2016
2016-05-07,16.0077916666667,2016
2016-05-08,16.140625,2016
2016-05-09,15.8229583333333,2016
2016-05-10,16.6822916666667,2016
2016-05-11,16.7785833333333,2016
2016-05-12,15.8464166666667,2016
2016-05-13,15.9972916666667,2016
2016-05-14,16.166625,2016
2016-05-15,17.1562083333333,2016
2016-05-16,17.4479166666667,2016
2016-05-17,17.7262857142857,2016
2016-05-18,18.2448333333333,2016
2016-05-19,17.4895833333333,2016
2016-05-20,17.56,2016
2016-05-21,17.8957916666667,2016
2016-05-22,17.90625,2016
2016-05-23,17.7447916666667,2016
2016-05-24,18.0989166666667,2016
2016-05-25,18.1040416666667,2016
2016-05-26,17.7734583333333,2016
2016-05-27,17.6926666666667,2016
2016-05-28,17.4557916666667,2016
2016-05-29,17.7474583333333,2016
2016-05-30,17.937375,2016
2016-05-31,18.1589166666667,2016
2016-06-01,18.7186666666667,2016
2016-06-02,18.2162083333333,2016
2016-06-03,18.5677083333333,2016
2016-06-04,19.4270416666667,2016
2016-06-05,20.216125,2016
2016-06-06,21.461,2016
2016-06-07,21.5859583333333,2016
2016-06-08,21.1432083333333,2016
2016-06-09,20.3672083333333,2016
