"cu","Rmeas","year","enhanced","2.5%","10%","50%","90%","97.5%","line_y"
"Sproat","BYB",1996,"0",-0.227995247554847,-0.0277712165216371,0.256268702127807,0.484215637801668,0.613133258632278,1.31034587358349
"Sproat","BYB",1997,"0",-0.539996563644624,-0.347023079140728,-0.0777045490666595,0.153698681641354,0.28912367687072,1.31034587358349
"Sproat","BYB",1998,"0",-0.584121581159904,-0.380813907949413,-0.106046914361402,0.12249691300572,0.255646349565758,1.31034587358349
"Sproat","BYB",1999,"0",-0.741829538594644,-0.54142230775662,-0.259806590898561,-0.0120110047409312,0.125612856207514,1.31034587358349
"Sproat","BYB",2000,"0",-0.611815406856609,-0.409696548256034,-0.126974758244172,0.120335401209475,0.262227646927912,1.31034587358349
"Sproat","BYB",2001,"0",-0.694217758348482,-0.490173963811595,-0.201448756023499,0.0492613002713611,0.194662350673007,1.31034587358349
"Sproat","BYB",2002,"0",-0.566232560497355,-0.354290602402147,-0.0581733287996045,0.193517359712768,0.339939251143472,1.31034587358349
"Sproat","BYB",2003,"0",-0.67651768175559,-0.474350116785132,-0.178523909937736,0.0747897573341817,0.226769974549026,1.31034587358349
"Sproat","BYB",2004,"0",-0.780598741370199,-0.573751867913698,-0.282203300351675,-0.0346832220218928,0.108955963420794,1.31034587358349
"Sproat","BYB",2005,"0",-0.791080661485786,-0.595705132958747,-0.314997631104001,-0.0633436737502823,0.087813467864574,1.31034587358349
"Sproat","BYB",2006,"0",-0.44063199988859,-0.249412575031034,0.0259959582735565,0.27267193896091,0.422635151505142,1.31034587358349
"Sproat","BYB",2007,"0",-0.419862739858137,-0.242673626683126,0.0217420016980725,0.261951167618807,0.399801826929244,1.31034587358349
"Sproat","BYB",2008,"0",-0.416083483727315,-0.228166622704706,0.032225865052661,0.267256049305246,0.408297638119224,1.31034587358349
"Sproat","BYB",2009,"0",-0.0938933275186578,0.100775523955078,0.372423765961578,0.591345351491566,0.717948423522748,1.31034587358349
"Sproat","BYB",2010,"0",-0.0801722262921944,0.144798939245907,0.44378475904146,0.694963380016307,0.841494394528832,1.31034587358349
"Sproat","BYB",2011,"0",-0.299467793025632,-0.0818696098619881,0.223539798770865,0.475989128458658,0.627191056916419,1.31034587358349
"Sproat","BYB",2012,"0",-0.63452596312696,-0.420529721849626,-0.133198810033475,0.117749101655951,0.277462877492973,1.31034587358349
"Sproat","BYB",2013,"0",-0.571225724756337,-0.373021674807145,-0.0896937644750295,0.15136229122315,0.292456431321157,1.31034587358349
"Sproat","BYB",2014,"0",-0.817040824597101,-0.614732474035491,-0.324602472748069,-0.0708786628041391,0.0818898067514299,1.31034587358349
"Sproat","BYB",2015,"0",-0.879052090034983,-0.655847106385021,-0.351386748938262,-0.081721590232167,0.0728990256589814,1.31034587358349
"Sproat","BYB",2016,"0",-0.712138240954924,-0.487545915687316,-0.185878380106761,0.0632550051025348,0.215244806379793,1.31034587358349
"Sproat","BYB",2017,"0",-1.07934717021013,-0.874430244453708,-0.57749061802309,-0.305566148005709,-0.146084414985407,1.31034587358349
"Sproat","BYB",2018,"0",-1.02526375339631,-0.813960080656112,-0.513018042783575,-0.255478583117446,-0.103346575330594,1.31034587358349
"Sproat","BYB",2019,"0",-1.07014225424998,-0.871437114078461,-0.570882640178336,-0.303551522574168,-0.141393768218196,1.31034587358349
"Sproat","BYB",2020,"0",-1.11436367815165,-0.908466118437183,-0.613598890238254,-0.343274104471097,-0.182985106558726,1.31034587358349
"Sproat","BYB",2021,"0",-0.95906069657292,-0.746204195156595,-0.435769551555301,-0.160219754391038,0.00141549650867817,1.31034587358349
"Hucuktlis","BYO",1978,"1",-0.553310901072868,-0.303602973073415,0.101069957485436,0.517379477705117,0.762782238391928,1.40689169297372
"Hucuktlis","BYO",1979,"1",-0.564841959261512,-0.304066058407701,0.0782798675792602,0.432666051201883,0.640611397521782,1.40689169297372
"Hucuktlis","BYO",1980,"1",-0.621131221183754,-0.37167487828004,0.0125708164644331,0.367061946610418,0.587844452925581,1.40689169297372
"Hucuktlis","BYO",1981,"1",-0.304450291437039,-0.01315797009948,0.380010315969989,0.687994773286288,0.854221614053135,1.40689169297372
