"date","sensor","staff","year"
2017-05-02,2.03616666666667,1.85616666666667,2017
2017-05-03,2.05595833333333,1.87595833333333,2017
2017-05-04,1.93358333333333,1.75358333333333,2017
2017-05-05,2.29658333333333,2.11658333333333,2017
2017-05-06,2.38220833333333,2.20220833333333,2017
2017-05-07,2.30279166666667,2.12279166666667,2017
2017-05-08,2.19758333333333,2.01758333333333,2017
2017-05-09,2.14870833333333,1.96870833333333,2017
2017-05-10,2.11341666666667,1.93341666666667,2017
2017-05-11,2.12583333333333,1.94583333333333,2017
2017-05-12,2.15975,1.97975,2017
2017-05-13,2.15304166666667,1.97304166666667,2017
2017-05-14,2.111,1.931,2017
2017-05-15,2.06416666666667,1.88416666666667,2017
2017-05-16,2.04879166666667,1.86879166666667,2017
2017-05-17,1.98945833333333,1.80945833333333,2017
2017-05-18,1.972,1.792,2017
2017-05-19,1.98141666666667,1.80141666666667,2017
2017-05-20,1.98120833333333,1.80120833333333,2017
2017-05-21,1.98483333333333,1.80483333333333,2017
2017-05-22,1.99825,1.81825,2017
2017-05-23,2.08554166666667,1.90554166666667,2017
2017-05-24,2.146375,1.966375,2017
2017-05-25,2.13117391304348,1.95117391304348,2017
2017-05-26,2.105,1.925,2017
2017-05-27,2.11158333333333,1.93158333333333,2017
2017-05-28,2.136625,1.956625,2017
2017-05-29,2.15891666666667,1.97891666666667,2017
2017-05-30,2.18933333333333,2.00933333333333,2017
2017-05-31,2.20216666666667,2.02216666666667,2017
2017-06-01,2.18516666666667,2.00516666666667,2017
2017-06-02,2.15225,1.97225,2017
2017-06-03,2.1345,1.9545,2017
2017-06-04,2.08708333333333,1.90708333333333,2017
2017-06-05,2.02808333333333,1.84808333333333,2017
2017-06-06,1.98520833333333,1.80520833333333,2017
2017-06-07,1.976,1.796,2017
2017-06-08,1.98041666666667,1.80041666666667,2017
2017-06-09,1.95066666666667,1.77066666666667,2017
2017-06-10,1.98654166666667,1.80654166666667,2017
2017-06-11,1.956125,1.776125,2017
2017-06-12,1.93025,1.75025,2017
2017-06-13,1.89491666666667,1.71491666666667,2017
2017-06-14,1.86545833333333,1.68545833333333,2017
2017-06-15,1.89179166666667,1.71179166666667,2017
2017-06-16,1.98291666666667,1.80291666666667,2017
